CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
00-01-2907-46,01-310,ciudad capital,zona 1,centro de estudios diversificados dr alejandro fleming,16 avenida a 3-54,22531211,alma salguero de salazar,oldemia nohemi lopez hernandez,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-2908-46,01-403,ciudad capital,zona 1,instituto particular mixto ciencia y desarrollo,10a. 3a. calle-15,36117881,carlos humberto gonzalez de leon,myriam jeannette cifuentes ortiz,diversificado,privado,urbana,abierta,monolingue,doble,fin de semana,guatemala norte
00-01-2952-46,01-402,ciudad capital,zona 1,instituto privado mixto de educacion diversificada colegio brown s,11a. 10a. calle-50 zona 1,,carlos humberto gonzalez de leon,,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,sabatino,guatemala norte
00-01-2958-46,01-307,ciudad capital,zona 1,colegio santa infancia,9a. avenida 4-29,22200140,norma aracely palomo franco de diaz,---,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-2980-46,01-,ciudad capital,zona 1,instituto americano de conocimientos,"13 av. 2-21, zona 1",,maria felicita roque carrera,,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-2981-46,,ciudad capital,zona 1,instituto americano de conocimientos,"13 av. 2-21, zona 1",,,,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),guatemala norte
00-01-2982-46,01-307,ciudad capital,zona 1,escuela superior de informatica esi,11a. 11a. calle-26,22323144,norma aracely palomo franco de diaz,-----------,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-2984-46,,ciudad capital,zona 1,colegio de computacion blaise pascal,8a. av. 3-30 zona 1,,,,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),guatemala norte
00-01-3042-46,01-316,ciudad capital,zona 1,instituto tecnologico digitales comerciales,9a calle 0-44,22382722,carlos humberto gonzalez de leon,--,diversificado,privado,urbana,abierta,monolingue,matutina,diario(regular),guatemala norte
00-01-3043-46,01-102,ciudad capital,zona 1,instituto americano en ciencias de computacion,6a. ave 18-23 zona 1,22232912,zizi arely lopez chinchilla,,diversificado,privado,urbana,cerrada temporalmente,monolingue,intermedia,diario(regular),guatemala norte
00-01-3045-46,01-304,ciudad capital,zona 1,centro de estudios tecnologicos tecno pro,11a. 10a. calle-28,,amado salomon flores perez,-----,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-3049-46,01-310,ciudad capital,zona 1,escuela nacional de mecanografia,8a. avenida 14-34,22323551,alma salguero de salazar,,diversificado,oficial,urbana,cerrada temporalmente,monolingue,doble,diario(regular),guatemala norte
00-01-3050-46,01-318,ciudad capital,zona 1,instituto normal para maestros de educacion fisica gottingen,12a. 2a. calle-31 zona 1,,leslie azucena monzon tecun,------,diversificado,privado,urbana,cerrada temporalmente,monolingue,doble,diario(regular),guatemala norte
00-01-3085-46,01-,ciudad capital,zona 1,colegio para adultos ahalcab,2av. 5-37 zona 1,,maria felicita roque carrera,,diversificado,privado,urbana,cerrada temporalmente,monolingue,nocturna,diario(regular),guatemala norte
00-01-3095-46,01-403,ciudad capital,zona 1,colegio rama adulta guatemalteca de deseo estudiantil ragde,1a. calle 18-34 zona 1,,carlos humberto gonzalez de leon,,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,sabatino,guatemala norte
00-01-3161-46,01-403,ciudad capital,zona 1,centro de formacion profesional,11a. 9a. calle-33,22324701,carlos humberto gonzalez de leon,,diversificado,privado,urbana,cerrada temporalmente,monolingue,intermedia,diario(regular),guatemala norte
00-01-4009-46,01-307,ciudad capital,zona 1,escuela superior de informatica,11a. 11a. calle-26,22323144,norma aracely palomo franco de diaz,--------------,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),guatemala norte
00-01-4010-46,01-403,ciudad capital,zona 1,escuela superior de informatica,11a. 11a. calle-26,,carlos humberto gonzalez de leon,---,diversificado,privado,urbana,cerrada temporalmente,monolingue,intermedia,diario(regular),guatemala norte
00-01-4112-46,01-403,ciudad capital,zona 1,escuela sistematizada en computacion,4a. ave. 1-21 zona 1,,carlos humberto gonzalez de leon,,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,sabatino,guatemala norte
00-01-4303-46,,ciudad capital,zona 1,colegio mixto cristiano guatemalteco,13a. 2a. calle-30 zona 1,22323228,,,diversificado,privado,urbana,cerrada temporalmente,monolingue,vespertina,diario(regular),guatemala norte
00-01-4320-46,01-317,ciudad capital,zona 1,colegio frances americano,12 avenida 11-69,22325117,mariano domingo estrada teletor,---,diversificado,privado,urbana,cerrada temporalmente,monolingue,matutina,diario(regular),guatemala norte
00-01-4324-46,01-317,ciudad capital,zona 1,liceo tecnico de computacion css,11 avenida 9-12,22205487,mariano domingo estrada teletor,,diversificado,privado,urbana,temporal titulos,monolingue,doble,diario(regular),guatemala norte
